en,uz
Corrode,zanglamoq
Corrupt,"yo'ldan urmoq, pora bermoq"
Cosmopolition,ko'p millatlio dunyoqarashi keng
Cosy,"qulay, shinam"
Counsel,"maslahat, advokat"
Council,"tashkilot, kengash"
Courage,"jasorat, mardlik"
Court,"sud,saroy, ko'rt, ko,nglini olmoq"
Covet,"orzu qilmoq, qattiq istamoq"
Coward,"qo'rqoq, nomard"
Coy,"uyatchan, tortinchoq"
Cradle,"beshik, asli kelib chiqishi"
Craft,"kasb-hunar, kema, samolyofi (kaft) Yo'lingizni to'sgan"
Crag,qoya
Cram,"yuzaki tayyorlanmoq, to'ldirmoq"
Cramp,"talvasa, tomir tortishishi"
Cranium,bosh suyagi
Crave,"o'tinmoq, yalinmoq"
Creator,"yaratuvchi, ijodkor"
Credentials,ishonch yorliqlari
Crest fallen,"xafa, g'amgin"
Crest,"qush toji, tepa-cho'qqi"
Crevice,tog' oralig'i-dara
Crew,"ekipaj, guruh"
Crib,"shpargalka, izohli lug'atr'(karib) Tasarvur qiling"
Crisp,"mo'tt, salqin havo"
Crony,qadrdon do'st
Crucial,"muhim, jiddiy"
Cruise,k-ernada sayobat qilmoq
Crusade,"salb yurishi, jang"
Crust,"sirt, yuza, qobiq"
Crutch,qo'ltiqtayoq
Cunning,"makkor, yoqimtoy"
Curb,"jilovlamoq, bo'ysundirmoq"
Cure,"dori- darmon, davolamoq"
Curious,"noyob buyum, qiziquvchantik (Sirius)"
Current,"bugungi, joriy, keng tarqalgan, oqim"
Curriculum vitae,tarjimai hol (ko'rib turganizday
Dagger,xanjar
Dapper,bashang kiyingan
Dart,"ildamlamoq, intilmoq"
Dawn,"tong, sahar"
Dazde,ko'ai qamashtirmoq
Dead-line,"belgilangan muddat, muhlat"
Deadlock,"mushkul ahvol, chorasidik (Sherlok) Sherlok"
Deal,"kelishuv, anchagina, tarqamoq, shug'ullanmoq"
Dealing,sotish usuli
Debauchery,axloqsidiko ochko'dik
Debris,"xaroba, vayrona"
Deceit,"hiyla, nayrang"
Decent,"odobli, namunali"
Decline,"kamaymoq, zaiflashmoq,voz kechmoq"
Dedication,bag'ishlov
Deft,"epchil, usta, mohir"
Defy,"chorlamoq, rad etmoq"
Deign,"ravo ko'rmoq, lozim topmoq"
Deity,tangri
Delirium,alahsirash
Deliver,"yetkazmoq, eltib bermoq"
Deluge,sel
De luxe,"hashamat, lyuks"
Demeanor,xulq-atvor
Demise,o'lim
Deniel,rad(inkor) etish
Denote,"ilbdalamoq, anglatmoq"
Department,"bo'lim, qism, departament"
Department store,universal magazin
Dependable,"bogoliq, ishonchli"
Deploy,qurollarni(zobitlarni) joylashtirmoq
Deportation,"surgun, haydab yuborish"
Depose,"mansabdan tushirmoq, yo'q qilmoq"
Deposit,"bankka pul qo'ymoq, garov"
Depot,"ombor, bekat"
Depraved,axloqsiz
Depreciate,qadrsidanmoq
Deranged,"jinni,aqldan o4an"
Derivation,"kelib chiqish, manba, yasama so'z(gram.)"
Describe,"tasvirlamoq, ta'riflamoq"
Description,"izoh, ta'ri( tur,nav, xil"
Desire,"xoxlamoq, talab qilmoq"
Desist,"o'zini tiymoq, bas qilmoq"
Despair,umidsidikka tushmoq
Despise,"kamsitmoq, naltatlanmoq"
Destitude,"faqir, kambdg'al"
Destructive,"vayronkor, bu2g'unchi"
Detachment,"bo'linma, betaraflik, otryad"
Determine,"aniqlamoq, hisoblamoq, qaror qilmoq"
Devastate,"buzmoq, nobud qilmoq"
Deviation,"chetga chiqish, og'ish"
Devolution,lavozimdan ketish
Devotion,"sevgi, sadoqat, nazr, bag'ishlash"
Devout,"dindor, samimiy"
Dexterous,"epchil, qo'li gul"
Diagram,"diagramma, chizna"
Diffident,kamta6 sodda
Diffuse,"yoymoq, tarqamoq"
Digress,mavzudan chetga chiqmoq
Dike,"damba, to'g'on,chuqur o'ra"
Dilapidated,"ko'hna,eski, vayron"
Dilate,"kengaymoq, tarqamoq"
Dimension,"o'lcham, hajm"
Din,shovqin
Disability,"qo'lidan kelmaslik, zaiflik ""ability"" so'zining"
Disadvantage,z rar
Disarray,tartibsidik
Disguise,"niqob, yashirmoq"
Disinterested,"betaraf, xolis"
Disloyal,"sotqin, xoin"
Dismantle,qismlarga bo'lmoq
Dismay,"cho'chish, umidsidik,qo'rquv"
Dismiss,ishdan bo'shatish
Disorder,"tartibsidik, isyon, kasallik (order-buyruq) Kasallik"
Disparage,"kamsitmoq, yomonlamoq"
Dispatch,"jo'natmoq, tez bajarmoq"
Dispense,"ulashmoq, dori tayyorlamoq, majburiyatdan xalos"
Dispose,"qo'ldan chiqarmoq, qutulmoq"
Disposed,"istalgan, ixtiyoriy"
Disposition,"fe'l-atvor, havas"
Dissect,yorib ko'rmoq
Dissension,"bahs-munor,ara"
Dissipate,"haydamoq, bekorchiga sarllamoq"
Distant,"uzoq, sovuq munosabat"
Distinct,"larqli, aniq-ravshan"
Distinguished,"mashhur, atoqli; (english) Mashhur ingliz"
Distributor,"tarqatuvchi, taqsimlovchi-distribyuter"
District,"tuman, rayon"
Disturb,"bezorta qilmoq, buznoq"
Ditto,"xuddi, aynan"
Diverye,ayrilmoq
Diversity,"lhrq, talbvut"
Divine,"ilohiy, qoyilmaqom"
Dizzy,"boshni aylantiradiganz (nzi)Zizi ko'p yesangrz, boshni"
Doctrine,ta'limot
Dodge,hiyla ishlatmoq
Dogma,a'qida
Domain,"soha, mamlakat"
Dominant,ustunlik qilmoq
Doom,"taqdir, qismat"
Dossier,shaxsiy xujjadar
Dote,kuchli sevmoq
Dough,"xamir, pul"
Dour,"qattiqqo'I, qo'pol, ma'yus"
Downpour,kuchli yomg'ir
Dowry,"sarpa, sep"
Drab,zerikarli
Draft,"eskiz, loyiha, chek (daftar) Dizayner daftariga oqshom"
Drag,"sudra(l)moq, tortmoq"
Drain,"qurimoq, kanalizatsiya"
Dreamy,"xayolparast, ajoyib"
Dreary,"g'amgin, zerikarli"
Drift,"suvda oqmoq, uyum-to'p"
Drip,tomchi(ramoq)
Dnz'de,yomg'ir tomchilam oq
Drop-out,o'qishdan haydalgan
Drowr,cho'lanoq
Dub,"unvon, nom, ovoz-bermoq"
Dubious,shubhali
Dud,keraksiz buyum
Due,"qav. munosib, kutilgan, sababli"
Duke,gersog (amatdor)
Dunce,kaltafahm
Dungeon,"zindon, qamoqxona"
Durable,mustahkam
Duration,"davomiylik ""dwing"" so'zidan olingan"
Duress,tahdid
Duty-free,soliqlardan ozod (Duty-free)
Dwelling,"turar joy, maskan"
Earnings,ish haqi
Earthquake,zilzila
Ease,"rohat, yengillashtirmoq"
Eavesdrop,gap poylamoq
Ebb,suvning pasayishi
Ecstasy,"quvonch, jo'shqinlik (Steysi) Steysi ismli qgztabiat"
Eddy,girdob
Edilice,hashamatli bino
Eerie,"mudhish, vahimali"
Effect,"natija, ta'sir qilmoq"
El'licient,"samarali, unumdor, malakali"
Effort,tashabbus
El'lbrtless,oson
Effuse,tuyg'usi jo'sh urgan
Ego,"men, o'zim"
Eject,chiqarmoq
Elapse,o'tgan vaqt
Elaborate,puxta qilingan
Elated,"shod, quvnoq"
Elocution,"notiqtik san,ati"
Elope,"qochib ketmoq, bekinmoq"
Elusive,"tutqich bermas, chalg'ituvchi"
Emaciated,"ozg'in, nimjon"
Emacipation,"xalos qilish, erkinlik (emansiz"
Embark,"kemaga ortmoq, ishga kirishmoq"
Embellish,"bezamoq, yasatmoq"
Ember,"cho'g', o't,olov"
Embroidery,kashtachilik (e brodar)E birodar kmhtachilik
Emerald,zumrad
Emergence,"ko'rinish, paydo bo'lish"
Emergency,"favqulotda hodisa, zarurat, Bu so'zni bilasiz"
Emigration,chet elga ko'chish
Eminent,"oliy martabali, mo'tabar"
Emphasize,ta'kidlamoq
Emphatic,"ta'sirli, ifodali"
Employer,ish beruvchi
Empower,vakolat bermoq
Enable,imkon (ruxsat ) bermoq
Enact,"qaror qilmoq, rol o'ynamoq"
Encounter,"duch kelmoq, to'qnashuv"
Encroach,tajovuz qilmoq
Encumber,tirbandliko yuklamoq
Endow,"moddiy ta'minlamoq, hadya etmoq"
Engage,zimmasiga olmoer ahdlashmoq
Engaged,"unashtirilgan, band"
Engross,"jalb etmoq, mukkasidan ketmoq"
Enigma,"jumboq, enigma"
Enquire,tekshirmoq
Enrapture,quvon(tir)moq
Ensue,"iziga tushmoq, ergashmoq"
Entail,zarvr bo'lmoq
Entangle,chalg'itmoq
Enterprise,"tashabbuskorlik, korxona"
Enthusiasm,"g'ayrat, ishtiyoq"
Entice,ko'ndirmroq
Entity,"borliq, mavjudlik (etik) Multfilm ko'rib o'tirgan bolakay"
Epoch,"davr, zamon"
Equal,teng
Equanimity,"xotirjamlik, esankiramaslik (ikkilanmay)"
Equilibrium,muvozanat
Equity,adolat
Erection,tiklash
Err,xato qilmoq
Errand,topshiriq bermoq
Establish,"qurmoq, tashkil etmoq"
Establishment,"qurilish, muassasa! (eslatmoqchi) Sizga"
Estate,"mol-mulk, boylik (estetik) Tasawur qiling birdan boyib"
Esteem,"xurmat, ehtirom"
Estrange,begonalashmoq
Estuary,daryoning etagi (quyilish joyi)
Et cetera,va hokazo
Eternal,"abadiy, mangu"
Ethik,"odob-axloq, etika"
Evaluate,qadrlamoq
Eventually,"nihoyat, oxiri"
Evoke,"qo'zg'amoq, sabab bo'lmoq"
Evolve,rivojlantirmoq
Ex,sobiq
Exatcly,"aniq, aynan"
Exaggeration,mubolag'a
Exalted,"yuksak, quvonchli"
Exasperate,g'qzgfilaa(1ir)moq
Exceed,"ortmoq, haddan oshmoq"
Exceedingly,o'ta juda
Excess,"ortiqcha, ko'p"
Exclude,chiqarib tashlamoq
Execute,"ijro (qatl) etmoq, bajarmoq"
Exert,astoydil harakat qilmoq
Exertion,shijoat
Exist,"mavjud bo'lmoq, yashamoq"
Expand,kengay(tir)moq
Ixpatriate,boshqa yurtga ko'chgan odam
Expectation,"umid, ishonch"
Expedient,"foydali, niaqsadga muvofiq"
Expel,"quvmoq, haydamoq"
Expenditure,sad'-xarajat
Experienced,tajribali
Express,"ifodalamoq, maxsus, tez yurar poyezd"
Expropriate,zo'rlik bilan tortib olmoq
Expulsion,"quvish, haydash (maktabjamoadan)"
Exquisite,"nalis, nozik (ekskursiya) Frarsiyaga ekskursiya"
Extant,"mavjud, saqlanib qolgan"
Extend,"uzaytirmoq, kengaymoq"
Extent,"o'lcham, hajm, daraja"
Extinct,so'ngan rmlqon
Extracurricular,"darsdan tashqari, mustaqil"
Extreme,"eng (baland,vme), ashaddiy"
Extricate,qiyinchilikdan qutqarmoq
Exuberant,"toshqin, jo'shqin"
Exult,"quvonmoq, zavqlanmoq"
Eyewitness,guvoh
Fabuluous,"g'aroyib, (faberlik) Faberlik kompmiyasi g'aroyib"
Facile,"oson, yengil, yuzaki"
Facility,"mahorat, qulaylik, jihoz"
Faculty,"iste'dod, fakultet"
Fade,"so'limoq, yo'qolib bormoq"
Fair,"haqqoniy, o'rtamiyona, yarmarka"
Fake,"firibgar, soxtalashtirmoq"
Fame,mashhurlik
Farce,"teatr, qo'pol hazil"
Fare,"yo'l haqi, ovqat"
Farewell,alvido
tr'ar-reaching,keng qamrovli
Fastinate,maftun bo'lmoq(qilmoq)
Fasten,"bog'lamoq, qulflamoq"
Fastidious,xunuk
Fatal,halokatli
Fatalify,taqdirga tan berish; (xatarli) Qo'rqmas baxodir
Fathom,"ko'nikmoq, suvning chuqurligini o'lchamoq"
Fatuous,"be'mani, ahmoqona"
Fear,"vahima, qo'rqmoql @iya) Tepib yuborishidan vahimaga"
Fearless,"qo'rqmas, dadil"
Feast,"ziyofat, bayram"
Fed up,"charchagan, joniga tekkan"
Fee,"haq, gonorar, pul to'lash"
Feedback,"xulosa, tahlil, taassurot"
Fellowship,"jamiyat, hamkorlik"
Felony,og'ir jinoyat
Ferocious,yovuA yolvoyi
Fertilize,"changlatmoq, o'g'itlamoq"
Fervent,"otashin, jo'shqin"
Feud,"adovat, dushmanlik"
fiasco,"halokat, muvaffaqiyatsizrik (disko) Disko klubda"
Fib,"yolg'on, lirib"
Fidelity,"sadoqat, vafo"
Figurative,"tasviriy, obradi"
Filter,"filtr, toztlagich"
Filth,"toy, kir, chiqindi"
Finally,"nihoyat, oxiri"
Finite,"chegaralangan, cheklangan"
Fishery,"baliqchilik ""lish'so'zini eslang"
Fission,parchalash
Fist,musht
Fitting,"loytg, yarashgan, yig'ish"
Fiks,"mustahkamlamoq, o'rnatmoq, tayyorlamoq"
Flair,"iqtidor, qobiliyat"
Flake,"parcha, uchqun"
Flap,"qopqoq, taraqlamoq, qanot qoqish"
l'lash,"o't (uchqun) chaqnamoq, likr tug'ilmoq"
l'task,"kolba, llyaga, o'qdon"
tr'latter,xushomad qilmoq
Flavor,"maza, ta'm"
Flaw,"ayb, kamchilik, yaroqsiz mol"
Fleece,aldab pulini shilmoq
Flesh,"go'sht, et"
Flicker,"miltillamoq, tebranmoq"
Flint,"chaqmoqtosh, uchqun"
Flip,"chertmoq, jaxli chiqmoq, uloqtirmoq"
Flirt,oshiq bo'lmoq
Flock,"to'da, gala"
Flood,"sel, toshqin"
Fluctuation,"tebranish, o'zgaruvchanlik (pilik choy"
Fluent,ravon nutq
Flunk,"yiqilmoq (o'qish, imtihondan) (blanka) Kirish imtihonidan"
Flutter,"shoshilmoq, hayajon, uchmoq"
Flux,"oqim, doimiy o'zgarishlar, yangilanish"
Fly over,"osma ko,prik"
Foam,ko'pik
Folder,papka
Foe,dushman
Folk,xalq
Folklore,xalq og'zaki ijodi
Folly,"ahmoqlik (xolli) ""Axmoqlik qilib, marr xolli qizni ranjitib"
Forbid,taqiqlamoq
Foreign,"xorijiy, chet"
Foreman,"usta, ishboshqaruvchi"
Foremost,asosiy
Foresight,"umqni ko'dash, ehtiyotkorlik (4, sayt) Uzoqni"
Foreword,muqaddima
Forefait,jarima (olmoq)
Forge,"soxtalashtirmoq, temirchilik (morj) Soxtalashtirilgan"
Forlorn,yolg'i4 omadsiz
Formal,rasmiy
Former,"qadimgi, sobiq"
Formely,"dastlab, awal"
Formidable,qo'rqinchli
Fort,"qal'a, qo'rg'on"
Forthcoming,kelgusidagi
Forthright,"dadil, sharttaki"
Fortify,mustahkamlamoq
Fortitude,"mardlik, jasorat"
Fortnight,ikki hafta
Fossil,"topilma, qattiq"
Foul,"sport qoidasini buzish, vijdonsiz"
Fracture,"siniq, parchala(n)moq"
Fragrance,"xushbo'y, muattar"
Frail,"zaif, omonat"
Framework,"ramka, tuzilish"
Franchise,"xuquq, imtiyoz"
Fraternity,"qardoshlik, ittitbq"
Freight,yuk( tashish)
Fret,tashvishlanmoq
Fright,"qo'rquv, qo'rqmoq"
Froth,"ko'pirmoq, safsata sotmoq"
Frugal,"tejamkor, arzon"
Fuel,yoqilg'i
Fumble,"paypaslamoq, noto'g'ri muomala qilmoq"
Furnish,"jihodamoq, taminlamoq"
tr'urrow,"egat, chuqur, ajin"
Furthemore,"bundan tashqari, uning ustiga"
Fuss,"hovliqmoq, shovqin solmoq"
Fussy,"noziktabiat, hovliqma, serhasham"
Futile,"belbyda, yuzaki"
Gab,"bekorchi gap, safsata"
Gadget,"moslama, asbob-uskuna"
Gale,"kuchli shamol, bo,ron"
Gallop,ot choptirish
Gamble,qimor o'ynamoq
Gaol,qamoqxona
Gape,"hayratlanmoq, katta ochilmoq"
Garment,"libos, ust-bosh"
Gaudy,"ko'rkam, savlafli"
Gauge,"o'lchov asbobi, o,lchamoq"
Generation,"ishlab chiqarish, nasl, avlod"
Generous,"saxiy, ko'p miqdorda"
Genuine,"asl, chin, xaqiqiy"
Gesture,imo-ishora
Glare,"jaxl bilan qaramoq, porlamoq, ko'zri qamashtirmoq"
Glib,ravon gapirmoq
Glisten,"porlamoq, yaltiramoq"
Glossary,izohli lug'at
Glow,"qizimoq, olov, alanga"
Glum,"xafa, umidsiz"
Gnaw,"g'ajimoq, kemirmoq"
Gorge,"dara, tez yemoq"
Grab,tutib olmoQr chang solmoq
Grace,"go'zallilg nazokat,lutf"
Grade,"daraja, baxo, xil, sinf"
Gradual,"bosqichma-bosqich, izchit"
Grand,"muhtasham,katta, buyuk bu so'zni b"
Grant,"ehson qilnoq, qabul qilmoq, grant"
Grasp,"tutmoq, tushunmoq"
Gretily,xursand qitmoq
Gravel,shag'al
Gravity,"tortishish kuchi, jiddiyrik"
Graze,"o'flamoq, tirnamoq"
Grease,yog'(lamoq)
Grief,"gayg'u, hasrat"
Grieve,ranji(t)moq
Grim,"jiddiy, sovuq, yoqimsiz"
Grime,"dog,, kir"
Grin,"tirjaymoq, jitmaymoq"
Grind,"maydalamoq, o'tkirlamoq"
Groove,tarnov
Grope,paypaslamoq-ushlamoq
Gross,"keng, semiz, qo'pol, jami, dona"
Grove,"daraxtzor, chakalakzor"
Grudge,"baxillik, xasad qilmoq"
Gruelling,"mushkul, sermashaqqat"
Grumble,"nolimoq, ming,irlamoq"
Guardian,"qorovul, shaxs, homiy"
Guess,"gumon,taxmin qilmoq, fahmlamoq"
Guise,"tashqi ko,rinish, qiyofa"
Gulf,ko'rfazn fikrlar tafovuti
Guillible,"sodda, go'l"
Gust,qattiq shamol
Haggard,sillasi qurigan
Haggle,"savdolashmoq, bahslashmoq"
Hamlet,kichik qishloq
Hamper,xalaqit bermoq (hamda) Remont qilayotgan qo'shni
Handicap,"nogironlik, to'smoq"
Handy,"qulay, oson, mohir"
Harass,"bezdirmoq, charchatmoq"
Harbour,"port, qarorgoh, behavotirjoy"
Harml'ul,"xavlli, ztrarliz Bu so'zni bilastz"
Harmless,"zararsiz, xavfsiz"
Haste,"shoshma-shosharlik, tedashtirmoq"
Hatch,"tuxum qo'ymoq, bolalamoq"
Havoc,"talofat, zarar"
Hawk,uyma-uy yurib narsa sotmoq
Heal,"davolamoq, tuzalmoq"
Heap,"to'da, to'plamoq, to,ldirmoq"
Heave,"ko'tarmoq, uloqtirmoq"
Helpless,yordamga muhtoj
Hemisphere,yarimshar
Hence,"binobarin, shu sababdan, bundan buyon"
Ilenceforth,bundan buyon (so'ng)
Herd,"to'da(lashmoq), poda (boqmoq)"
Heredity,irsiyat
Hesitant,"qat'iyatsiz, ikkilanuvchi"
Highbrow,"ziyoli, ma'rifatparvar"
Hijack,"havodan hujum qilmoq, o'g'irlab qochmoq, talamoq"
Hike,piyoda sayr qilmoq
Hinge,"ilmoq, osmoq"
Ilint,"sha'ma, ishora qilmoq"
Hiss,"hushtak chalmoq, pishillamoq"
Hitch,"mushkul, bog'lab qo'1moq"
tloard,"saqlamoq, g'amlamoq"
Hoe,"ketmon, yerni chopmoq; (loy) Faraz qiling"
Hoist,ko'tarmoq
Holocaust,yer bilan yakson qilish
Ilomely,"oddiy, oson"
Ilomesick,sog'ingan
Ilomicide,"jinoyatchi, qotil"
Honourable,"vijdonli, xurmatli"
Hoop,"xalqa, gardish"
Hoover,changyutgich
Hospitable,mehmondo'st
Host,"mezbon, diktor, ko'p"
Hostile,"g,arazli, dushmanlarcha"
Hound,tozi it
Hover,"parvoz qilmoq, yaqinda bo'lmoq"
Hubbub,"shovqin, to'polon"
Huff,"qaxr, g,azab"
Hull,"kema korpusi, meva po,sti"
Humane,"insonparvar, gumanitar"
Humiliate,"kamsitmoq, xo'rlamoq"
Humility,"itoatkorlik, bo'ysunish"
Humour,"hazil, kulgi"
Hurl,otib yubormoq
Hurricane,"dovul, bo'ron"
Ilush,"tinchlik, tinchlanmoq"
Hustle,"turtmoq, qistamoq"
Ideal,"benuqson, yuksak g'oya"
Idendification,"o,xshatish, shaxsiy guvohnoma"
Identify,"shaxsini aniqlamoq, tenglashtirish"
Idiom,"idioma, ibora"
trliterate,savodsiz
Illustrious,"taniqli, mashhur"
Image,"xayol, tasawu& kadr, tasvir"
lmitation,"taqlid, nusxa"
Immediate,"bevosita, eng yaqin"
Immediately,"darxol, zudlik bilan"
Immence,"bepayon, keng"
Immerse,"bot(ir)moq, qamramoq"
Imminent,yaqinlashayotgan xatar haqida}
Immoral,"beodob, axloqsiz"
Impact,"to'qnashuv, zarba, ta'sir"
Impart,"xabar {ma,lum} qilmoq"
Impartial,"xolis, odil"
Impassive,"beparvo, loqayd"
Implement,"qurol, jihoz, bajarmoq, ta'minlamoq"
Implicate,"jalb qilmoq, qatnashmoq, nazarda tutmoq"
Implore,yalinmoq
lmpose,soliq solmoqr yuklamoq
Impostor,firibgar
lmpractical,mantiqsi4 besabab
Impressive,ta'sirli
Inability,"qobiliyatsidilg imkonsizfik ""Abilrty"" so'zining"
lnaccessible,"erishib bo'lmaydigan, qiyin"
Inadequate,"kam, yetarli emas"
Inaugurate,"ish bilan tanishib chiqmoq, tadbirni ochib"
Incense,"xushbooy tutatqi tayoqcha, g'azablantirmoq"
Incentive,"tilak, istak"
lncident,"voqea-hodisa, to'qnashuv"
Incidentally,"ahamiyatsiz, tasodifan"
Inclination,"egilish, qiyalik, ishtiyoq"
Inclusive,"daxldor, o'z ichiga olgan"
Incognito,"qiyofasini o'z4artirgan, kimligini yashirgan"
Income,"foyda, kirim, daromad"
Incompatible,"mos kelmaydigan, zid"
Inconsistency,"nomunosib, zid"
Inconvenient,noqulay
lncorporate,"birlashtirmoq,o'z ichiga"
Incredible,haqiqatdan yiroq
Increment,"o'sish, yuksalish"
Incumbent,"ayni paytdagi, zaruriy"
Indepted,"minnatdor, qarzdor"
Indent,"rasmiy ravishda so'rov yuborish, chekka joyda o'rin"
Index,"ko'rsatkich, ro'yxat, indeks"
Indicate,"ko'rsatmoq, ifodalamoq"
Indicafion,"ko'rsatkich, belgi, xabar"
Indignant,"g'azabli, nafratlangan"
lndispensable,"muhim, zarur {qonunga oid}"
lndisputable,"aniq-ravshan, shubhasiz"
Individual,"yakka, alohida, shaxsiy"
Induce,"ishontirmoq, sababchi bo'lmoq"
Indulge,"zavq olmoq, rohatlanmoq"
Industrial,sanoatlashgan
Industrious,"mehnatsevar, tirishqoq"
Inevitable,"muqarrar, aniq sodir bo'ladigan"
Infantry,"yosh bola, piyoda askarlar"
Infection,"yuq(tir)ish, infeksiya"
Inferior,"past mavqeli, sifatsiz, itoatgo'y"
Infinite,"cheksiz, bepoyon, hisobsiz"
lnllect,"turlamoq, tuslamoq, ovozri o'4artirmoq"
lnfluence,ta'sir qilmoq
Inform,"xabar bermoq, ma'lum qilmoq"
Informal,norasmiy
Informative,xabar beradigan
lntringe,"qonunni buznoq, suiqasd qilmoq, kamsitmoq"
lnhabit,yashamoq
Inherent,"o'ziga xos, tug'ma, tabiiy"
Initial,"boshlang'ich, dastlabki"
Initiate,"boshlamoq, kirishmoq"
Initiative,"ilk qadam, tashabbuskorlik (engashayotib) Tor"
Inject,"kiritmoq, ukol qilmoq, {inyeksiya}"
Injury,"jarohat, haqorat, xafalik (inda jury) Hayvonlar sport"
Innocent,"sofdil, beg'ubor"
Injustice,"nohaqlik"" adolatsizlik"
Innovation,yangilik {kiritish}
Inquire,"so'ramoq, ma'lumot olmoq"
Inquiry,"$o'rov, tergov, tekshiruv, tadqiqot"
Insane,"tentat<, (aytganing sayin) Jinniga senjinnisar deb"
Insert,"qo'shmoq, joylashtirmoq"
Insight,ziyraktik (ingitizcha sayt) Doim ingilizcha saytlar
rnsignificant,ahamiyatsi4 arzitmagan
Insolvent,"faqir, kambag,al (inson, ventilyator) Faqir insonlar"
Inspire,"ruhlantirmoq, ilhomlantirmoq"
Install,"o'rnatmoq, barpo qilmoq"
lnstance,"misol, namuna"
Instinctive,beixtiyor
Instruct,o'rgatmoqr yo'l-yo'riq ko'rsatmoq
Insufficient,"qusur, nuqson"
Insult,"haqorat, xafa qilmoq (insult) o'xshash so'zlar"
lnsurance,sug'urta
lntegral,"yaxlit, butun"
Integrity,halollil6 vijdonlilik (integratsiya) Faqat halollikda
Intellect,"aql-idrok, bilim"
Intelligent,"aqlli, zehnli"
Intend,niyat (ahd) qilmoq
Intensive,"kuchli, qi4'in, jiddiy, jadal (intensiv) - o'xshash"
Intensify,"g'ayratlan(tir)moq, jadallashtirmoq"
Intent,"maqsad, dovyurak, shijoafli"
Interact,"birga harakat qilmoq, bir-biriga ta'sir qilmoq"
Interfere,"aralashmoq, xalaqit bermoq, duch kelmoq"
Interpret,"tushuntirmoq, imhlamoq, tarjima qilmoq"
Interrupt,"gapni bo'lmoq, aralashmoq"
Intervene,"aralashmoq, vositachilik qilmoq, sodir bo'lmoq"
Introvert,"uyatchan, tortinchoq, odamovi"
Intrude,bostirib kirmoq
Inundate,suv bosmoq {toshmoq}
Invade,"hujum qilmoq, egallab olmoq"
Invalidate,"nogiron qilmoq, vayron qilmoq"
Invaluable,"bebaho, qimmatli"
Invarieble,o'zgarmas
Invasion,"hujum qilish, bosib olish"
Inverse,"qarama-qarshi,aksincha"
Invest,pulni j oylashtirmoq
lnvestigate,"tekshirmoq, aniqlamoq"
Inviolable,"buzilmas, ajralmas, muqaddas"
Invisible,ko'rinmas
lnvoice,lalidura {io'natilgan molning narxi va ro'yxati}
Involuntary,bexosdan
Inward,"ichki, aqriy, ruhiy"
Irascible,"jahldor, jio,a'ki"
Irony,"kinoya, kesatiq"
Irresistible,"yengib bo'lmas, behisob, jozibador"
Irrevocable,"qat'iy, o'zgarmasl (vocabulary)"
Irritation,g'azablanish; jahl
Issue,"muammo, nashr (qilmoq), avlod"
Item,"paragraf, masala"
Itinerant,"darbadar, ssyyor"
ltinerary,"marshrlt, yo'lboshchi"
Jaundice,"sariq kasalligi, hasad"
Jeopardise,xavfsolmoq
Jerk,"laqir-notavon, silkinish, siltamoq (ierkimoq) qo'tni srltab"
Jinks,"o'yin-kulgi, shodlik (iin kosa) Chiroqda yashaydigan jin"
Jot down,qisqa qilib yoznoq
Jovial,"dilkash, xushchaqchaq"
Judgement,"sud qarori, likr, muhokama"
Juicy,"shirali, semuv"
Jumble,"qorishtirmoq, aralashtirmoq"
Junction,"birlashish nuqtasi, ittifoq"
Jury,"sud maslahatchisi, hakam"
Justify,"oqlamoq, kechirmoq"
Kernel,"don, mag'iz, mohiyat, asos"
Key-note,"asosiy ma,no, tushuncha"
Kindle,"hayajonga solmoq, uyg,otmoq"
Knack,"mahorat, ustalik (kek) Ayyortulkikeksaqlabyurkanbo'rini"
Knob,"shish, g'urra, dasta, sop"
Knoll,tepalik (nol) Tog'ning baland tepaligida ko'prncha harorat nol
Knot,"tugun, bog'ich, guruh"
Lad,o'spirin yigit
Lag,ortda (kech) qolmoq
Lament,"ylg'I, hasrat, motam tutmoq"
Landmark,"muhim davr(bosqich), chcgara chizig'i"
Landscape,"manza.ra, landshaft"
Lane,"so'qmoq, tor yo'lak"
Languid,"bo'shashgan, lanj"
Lanky,"novcha, oriq"
Lap,"ttzza, tur, rekorddan oshirmoqr yalab yemoq"
Lapse,"xato, vaqt, egalik huquqini yo'qotish"
Larceny,o'g'irlik
Lark,"quvnoqlik, so'fito'tg'ay"
Lass,qiz bola
Lasting,"davomli, doimiy"
Latent,"maxfiy, yashirin"
Lateral,"yon tarafdagi, chetdagi"
Launch,"uchirmoq, ish boshlamoq"
Lavish,"behuda sarf qilmoq, isrofgar"
Lax,beparvo
Layer,"qavat, qatlam"
Layman,tajribasiz kishi
Layout,joylashish tartibi
Leadership,rahbarlik
League,"ittifoq, liga"
Leak,"oqmoq, sizib chiqmoq"
Leap,"sakramoq, irg'imoq"
Lease,"ijara shartnomasi, ijaraga olmoq/bermoq"
Legasy,"mol-mulk, meros"
Legal,"qonuniy, huquqiy"
Legendary,afsonaviy
Legislation,qonun chiqarish/tuzish
Legitimate,"qonuniy, rasmiy"
Lengthen,uzay(tir)moq
Lenient,"muroyim, yumshoq"
Lest,"ishqilib, nima bo'lganda hain"
Lery,"yig'moq, undirmoq"
Liability,"burch, mas'uliyat"
Liable,"mas'ul, javobgar"
